Outcome_M1,Outcome_M2,Outcome_M3,Outcome_M4,Outcome_M5,Outcome_M6,Outcome_M7,Outcome_M8,Outcome_M9,Outcome_M10,Outcome_M11,Outcome_M12,Cat_1,Date_1,Quan_1,Quan_2,Quan_3,Quan_4,Date_2,Quan_5,Quan_6,Quan_7,Quan_8,Quan_9,Quan_10,Quan_11,Quan_12,Quan_13,Quan_14,Cat_2,Cat_3,Cat_4,Cat_5,Cat_6,Cat_10,Cat_11,Cat_13,Cat_15,Quan_15,Cat_17,Cat_23,Quan_16,Quan_17,Quan_18,Cat_111,Cat_114,Cat_115,Cat_121,Cat_122,Cat_147,Cat_168,Cat_171,Cat_209,Cat_214,Cat_215,Cat_222,Cat_223,Cat_225,Cat_233,Cat_235,Cat_237,Cat_240,Cat_249,Cat_258,Cat_259,Cat_260,Cat_262,Cat_300,Cat_302,Cat_311,Cat_326,Cat_336,Cat_343,Cat_356,Cat_370,Cat_373,Cat_374,Quan_19,Quan_20,Quan_21,Cat_397,Cat_400,Cat_403,Cat_419,Cat_425,Cat_426,Cat_442,Cat_443,Cat_445,Cat_448,Cat_455,Cat_457,Quant_22,Cat_458,Quant_23,Quant_24,Cat_460,Quant_25,Cat_462,Cat_465,Cat_467,Cat_470,Cat_481,Cat_483,Cat_489,Cat_491,Cat_492,Cat_494,Cat_498,Quan_26,Quan_27,Quan_28,Quan_29,Quan_22,Cat_510,Cat_512
10000,3000.0,8000.0,3000.0,3000.0,2000.0,2000.0,500.0,500.0,500.0,500.0,500.0,0,2485,918600,8300.0,76.0,538046.0,2025.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,1,3670016.0,0,1,16.0,3.2570754716981134,16.0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,6.0,9.0,0,55.49201277955272,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
8000,8000.0,2000.0,3000.0,2000.0,500.0,2000.0,2000.0,3000.0,500.0,500.0,500.0,0,2499,981000,7600.0,50.0,557614.0,1939.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,5242880.0,0,1,4.0,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,3.748663101604278,14.863636363636363,1.0,0,1,0,1,1,0,1,0,0,1,0,0,3.0,0,3.0,52.80523255813954,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,15000.0,8000.0,3000.0,3000.0,2000.0,2000.0,2000.0,2000.0,500.0,500.0,500.0,0,1778,31600,8000.0,66.0,1119115.0,1488.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,1,0,617472.0,0,0,16.0,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,7.0,52.80523255813954,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35000,8000.0,8000.0,5000.0,5000.0,3000.0,2000.0,3000.0,6000.0,2000.0,2000.0,2000.0,0,2296,685300,7900.0,101.0,1416697.0,2018.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,0,1,0,0,5121.0,0,1,16.0,2.0,11.085714285714285,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,0,0,0,0,1,0,0,0,6.444444444444445,0,5.0,76.0,0,76.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
16000,2000.0,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1,2835,2657500,7600.0,81.0,58666.0,1934.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,0,0,0,0,0,1,1,1,1,600.0,1,1,8.0,3.2570754716981134,8.0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,0,1,0,0,0,4.0,0,4.0,52.80523255813954,0,4.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
32000,6000.0,2000.0,2000.0,2000.0,500.0,500.0,500.0,2000.0,2000.0,500.0,500.0,0,3360,2671700,6900.0,98.0,428382.0,2703.0,58.0,29.0,13.0,58.0,58.0,38.0,26.0,2.0,38.0,38.0,0,0,0,0,0,0,0,1,1,1024.0,0,1,32.0,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,1,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0
10000,3000.0,3000.0,2000.0,2000.0,2018.4397163120568,1751.4409221902017,1492.721979621543,1411.373707533235,1320.8841463414635,1190.6976744186047,1071.9874804381848,0,3570,2936200,7600.0,47.0,300522.0,3090.0,22.0,13.0,0.0,22.0,22.0,17.0,10.0,0.0,17.0,17.0,0,0,0,0,0,0,1,1,0,154.0,0,1,16.0,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,3.748663101604278,14.863636363636363,1.0,1,1,0,1,1,0,1,0,1,0,0,0,6.444444444444445,0,4.0,52.80523255813954,0,55.49201277955272,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2000,3000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0,3248,2301100,6000.0,81.0,62984.0,2304.0,9.0,1.0,3.0,9.0,9.0,7.0,0.0,2.0,7.0,7.0,0,0,0,0,0,0,1,1,1,111.0,0,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,3.748663101604278,3.0,1.0,1,1,0,1,1,0,1,0,1,1,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11000,3000.0,2000.0,2000.0,3000.0,2000.0,2000.0,500.0,500.0,500.0,500.0,2000.0,0,2891,1797300,5900.0,69.0,641442.0,1178.0,17.0,2.0,8.0,17.0,17.0,10.0,2.0,3.0,10.0,10.0,0,0,0,0,0,0,1,1,0,3145728.0,0,1,16.0,3.2570754716981134,11.085714285714285,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,3.748663101604278,14.863636363636363,1.0,1,0,0,1,1,1,1,1,1,1,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5000,2000.0,500.0,2000.0,2000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,0,2814,1411600,6900.0,112.0,414785.0,2058.0,29.660649819494584,8.602888086642599,10.425992779783394,29.660649819494584,29.660649819494584,15.974729241877256,6.025270758122744,3.55956678700361,15.974729241877256,15.974729241877256,1,0,0,0,0,0,0,1,1,10240.0,0,1,9.446952595936795,3.2570754716981134,11.085714285714285,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3.748663101604278,14.863636363636363,3.126126126126126,1,0,0,1,1,0,0,1,1,1,0,0,6.444444444444445,0,5.0,52.80523255813954,0,55.49201277955272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
